smiles,density
CC(C)OC(=O)c1ccc(cc1)N(=O)=O,1.3676331520978
CCc1ccc(cc1)C=C(COc1ccccc1C=NO)C(=O)OC,1.2926180397948
CC(C)(C)c1ccc(O)c(C=NO)c1,1.2279930724017
Cc1ccccc1NN=C(C)c1cccc(c1)N(=O)=O,1.3167548217022
CN(C)c1ccc(cc1)C(=C(C#N)C#N)C(c1ccc(cc1)N(=O)=O)=C1C(=O)c2ccccc2C1=O,1.4062073001451
CC(C)(C)c1cc(C=NO)c(O)c(c1)C(C)(C)C,1.1837577052164
CC(C)(C)c1cc(C=NO)c(O)c(c1)N(=O)=O,1.3637752146382
COc1cc(cc(C=NO)c1O)C(C)(C)C,1.2534428462974
CC(C)(C)CC(C)(C)c1ccc(O)c(C=NO)c1,1.1831116655801
CC(C)(C)CC(C)(C)c1cc(C=NO)c(O)c(c1)N(=O)=O,1.289737636509
O=C1NC2C(N(CN2N(=O)=O)N(=O)=O)N1N(=O)=O,1.8081413154367
CC(=NOCC(O)=O)c1ccccc1N=Nc1ccccc1,1.3435214896366
COC(=O)c1cc(cc(c1O)N(=O)=O)N(=O)=O,1.6428548212403
OCC1OC(C(O)C1O)N1C=CN=C1N(=O)=O,1.55968619717
CC1C(CCc2ccccc2)OC(COC(=O)c2cc(cc(c2)N(=O)=O)N(=O)=O)C1OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1.5018815214808
O=C(Cc1ccccc1)ON=C(C(=O)NC1CCCCC1)c1ccccc1,1.2781540413185
CC(C)C=C(NC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)C(=O)N(C)C,1.4116143044241
CCOC(=O)C(C1C(CN(CC2CCCCC2)C1=O)C(ON1N=Nc2ccccc12)c1cccc(c1)N(=O)=O)C(=O)OCC,1.3691192007785
COc1ccc(cc1C1C(C(ON1c1ccccc1)c1ccc(C)cc1)C(=O)c1ccccc1)C(C)(C)c1ccccc1,1.2729261376915
CC(C)C1CCC23OC(CCC2=NNc2ccc(cc2N(=O)=O)N(=O)=O)CC13C,1.3865969379267
COc1cccc(C=NO)c1O,1.3523433362687
CCN(CC)c1ccc(C=Nc2ccc(cc2)N(=O)=O)c(O)c1,1.3198081731389
COC(=O)C1(CC(ON(c2ccccc2)C21C(=O)N(C)c1ccccc21)C=C)C(=O)OC,1.3978599981998
O=C(Nc1ccccc1)c1ccc(cc1)N(=O)=O,1.4006425931896
Cc1cccc(C)c1NC(=O)c1ccc(cc1)N(=O)=O,1.3510566394601
CCc1cccc(CC)c1NC(=O)c1ccc(cc1)N(=O)=O,1.3077975743583
CC(C)(C)c1ccc(cc1)C(=O)Nc1ccc(cc1)N(=O)=O,1.3118528626491
